iter	RMSE
210	19046.40557
211	18998.82804
212	18987.27821
213	18967.94878
214	18928.7544
215	18903.31315
216	18869.24066
217	18847.01818
218	18812.12349
219	18792.80604
220	18756.56739
221	18734.22022
222	18721.05751
223	18697.47248
224	18667.27305
225	18636.36924
226	18589.16672
227	18569.64018
228	18562.24004
229	18540.23307
230	18522.9265
231	18513.15525
232	18502.00754
233	18462.21718
234	18437.33774
235	18411.87589
236	18388.73352
237	18358.68615
238	18328.41136
239	18317.02367
240	18276.61565
241	18257.28934
242	18234.95358
243	18215.99052
244	18207.73038
245	18168.40104
246	18161.05431
247	18160.95988
248	18150.76748
249	18122.82398
250	18096.58164
251	18095.14409
252	18067.08375
253	18042.16383
254	18015.89183
255	18007.49088
256	18001.92923
257	17997.00437
258	17985.59797
259	17949.26434
260	17913.13879
261	17889.65624
262	17866.51474
263	17838.31258
264	17827.29393
265	17822.35219
266	17816.53542
267	17808.33414
268	17789.01194
269	17766.12528
270	17749.10925
271	17715.30982
272	17705.4445
273	17697.98564
274	17686.57878
275	17667.73721
276	17652.53317
277	17647.58128
278	17617.98458
279	17592.33232
280	17589.03954
281	17555.26334
282	17546.01976
283	17515.13296
284	17512.212
285	17489.47961
286	17486.54674
287	17481.06693
288	17475.75183
289	17447.26409
290	17417.18868
291	17408.87756
292	17406.07941
293	17353.46572
294	17317.24898
295	17286.54915
296	17266.1894
297	17239.63
298	17235.9494
299	17214.03481
300	17205.4326
301	17203.13173
302	17201.02962
303	17166.18739
304	17139.73686
305	17113.0778
306	17099.67326
307	17074.15599
308	17060.58857
309	17051.82539
310	17031.85679
311	17024.22243
312	17021.16045
313	17004.08164
314	16998.87091
315	16991.73493
316	16989.20261
317	16986.21765
318	16965.31806
319	16945.9488
320	16935.35246
321	16916.13978
322	16910.62822
323	16905.34126
324	16899.18864
325	16896.18164
326	16888.05945
327	16883.21444
328	16860.38561
329	16825.16519
330	16821.54222
331	16818.6877
332	16814.29315
333	16808.04138
334	16791.66755
335	16784.79076
336	16779.40352
337	16776.73601
338	16772.78928
339	16768.66343
340	16754.0666
341	16736.41776
342	16709.46035
343	16702.46084
344	16700.20753
345	16690.82569
346	16667.79341
347	16662.19262
348	16658.83071
349	16617.27544
350	16594.59535
351	16591.36027
352	16589.51627
353	16585.95077
354	16566.63755
355	16542.97515
356	16521.61119
357	16518.0703
358	16516.17617
359	16511.82534
360	16508.76044
361	16506.1622
362	16503.5842
363	16500.22985
364	16498.58623
365	16493.86558
366	16476.10876
367	16473.61864
368	16441.63118
369	16404.30605
370	16393.49747
371	16380.22219
372	16354.37597
373	16321.09444
374	16316.66148
375	16315.70651
376	16283.96129
377	16283.51101
378	16282.78924
379	16261.35872
380	16258.04783
381	16255.55153
382	16236.88634
383	16235.17492
384	16234.75719
385	16212.37399
386	16201.78517
387	16183.63425
388	16181.28426
389	16178.99086
390	16178.44881
391	16175.89415
392	16159.53834
393	16157.73082
394	16155.6485
395	16153.96347
396	16126.13962
397	16125.61468
398	16123.02634
399	16121.32425
400	16119.25315
401	16116.77915
402	16114.73773
403	16112.04029
404	16093.84134
405	16089.87965
406	16088.44166
407	16087.47082
408	16083.63849
409	16072.03843
410	16071.31723
411	16070.82976
412	16051.09726
413	16040.63208
414	16039.36657
415	16029.93453
416	16021.23095
417	16020.88733
418	16018.55147
419	15992.41849
420	15990.83102
421	15987.61549
422	15978.07632
423	15976.65855
424	15959.41423
425	15957.40389
426	15956.957
427	15936.83262
428	15916.33792
429	15915.3715
430	15905.65213
431	15900.50913
432	15893.45729
433	15882.53365
434	15872.75876
435	15870.39281
436	15869.14557
437	15853.55321
438	15838.01703
439	15836.83151
440	15835.67998
441	15830.70566
442	15826.57373
443	15822.28926
444	15817.22859
445	15800.00464
446	15788.0164
447	15760.11422
448	15739.85452
449	15721.63561
450	15720.48085
451	15709.66321
452	15705.99838
453	15704.98281
454	15688.65577
455	15676.94636
456	15676.68121
457	15672.91172
458	15669.50975
459	15667.43554
460	15665.81281
461	15654.14304
462	15653.52593
463	15634.91004
464	15611.21464
465	15609.68577
466	15590.49845
467	15573.55182
468	15568.05087
469	15566.92089
470	15565.56022
471	15559.55641
472	15558.47546
473	15545.92498
474	15530.32142
475	15520.80634
476	15494.27485
477	15493.33093
478	15492.5622
479	15488.64967
480	15479.07471
481	15478.0608
482	15476.43229
483	15474.29426
484	15473.28917
485	15472.40779
486	15471.81819
487	15452.93922
488	15421.54571
489	15415.00202
490	15409.53994
491	15407.35234
492	15395.28415
493	15394.20057
494	15386.71158
495	15385.13865
496	15384.91537
497	15383.16969
498	15379.87483
499	15375.67582
500	15367.92476
501	15357.5766
502	15346.93928
503	15338.69434
504	15333.65768
505	15325.29459
506	15322.89913
507	15316.56483
508	15314.13498
509	15309.47862
510	15291.47482
511	15287.84139
512	15286.60305
513	15276.87227
514	15240.90586
515	15237.25299
516	15229.7333
517	15227.27498
518	15226.53203
519	15215.20996
520	15213.03345
521	15212.4135
522	15194.17651
523	15190.73097
524	15189.48534
525	15169.88529
526	15169.43029
527	15167.79174
528	15166.47611
529	15164.3526
530	15163.54174
531	15145.69663
532	15144.24134
533	15141.25346
534	15133.94548
535	15132.35401
536	15130.43614
537	15129.19375
538	15128.38131
539	15125.17281
540	15118.3879
541	15117.59747
542	15111.94718
543	15089.13501
544	15088.61591
545	15071.00611
546	15050.09416
547	15038.97512
548	15038.02232
549	15032.38475
550	15031.76033
551	15022.44281
552	15011.62542
553	14999.98615
554	14984.28029
555	14984.07288
556	14982.93736
557	14972.84567
558	14958.22744
559	14934.25939
560	14916.57481
561	14901.83295
562	14901.57766
563	14898.03769
564	14897.07927
565	14887.0855
566	14871.54677
567	14860.52801
568	14840.88593
569	14825.41637
570	14820.21748
571	14796.16813
572	14794.35206
573	14769.00836
574	14767.9255
575	14745.27359
576	14733.094
577	14725.83222
578	14724.98201
579	14724.46489
580	14710.15125
581	14708.0923
582	14683.72343
583	14658.78748
584	14652.35701
585	14637.8298
586	14623.9873
587	14622.41728
588	14604.59579
589	14594.21343
590	14593.51907
591	14592.79687
592	14592.44024
593	14591.65949
594	14590.24531
595	14589.17545
596	14574.00629
597	14547.03701
598	14525.27733
599	14519.15316
600	14507.33119
601	14505.80013
602	14479.17975
603	14466.87824
604	14446.71515
605	14427.83823
606	14414.57305
607	14396.86561
608	14380.36763
609	14379.7353
610	14359.32351
611	14340.97511
612	14325.26235
613	14324.60123
614	14303.09268
615	14280.83033
616	14256.53146
617	14239.13116
618	14230.24461
619	14217.44733
620	14199.14251
621	14191.07899
622	14179.03172
623	14173.81308
624	14173.66482
625	14169.0846
626	14147.6108
627	14135.59174
628	14121.45381
629	14115.58016
630	14102.13993
631	14101.30096
632	14097.29049
633	14076.56692
634	14075.65078
635	14074.81577
636	14070.85216
637	14056.47959
638	14041.44415
639	14040.62811
640	14020.21861
641	14019.07519
642	13994.94805
643	13973.64082
644	13951.127
645	13932.69323
646	13931.68368
647	13920.43669
648	13913.89815
649	13901.51387
650	13884.26743
651	13878.34787
652	13866.57672
653	13848.20207
654	13834.40046
655	13833.96259
656	13818.21807
657	13815.14619
658	13799.63287
659	13799.08219
660	13786.33881
661	13781.64116
662	13777.77818
663	13777.20211
664	13769.47012
665	13756.29577
666	13740.44276
667	13737.31021
668	13728.21287
669	13727.18976
670	13726.62684
671	13711.62498
672	13693.42722
673	13674.83376
674	13660.12062
675	13659.19325
676	13655.28442
677	13638.79771
678	13621.49592
679	13620.82563
680	13612.61298
681	13600.31636
682	13579.64158
683	13577.60331
684	13576.82525
685	13560.02588
686	13544.54245
687	13523.09308
688	13511.64028
689	13508.60311
690	13491.82111
691	13474.77962
692	13463.87768
693	13459.7631
694	13448.17902
695	13435.69949
696	13421.24527
697	13403.53413
698	13398.0922
699	13377.06503
700	13358.19971
701	13357.17784
702	13356.19805
703	13355.29512
704	13353.49244
705	13342.09327
706	13323.14763
707	13318.45796
708	13316.4015
709	13294.92545
710	13278.62234
711	13275.22455
712	13260.37457
713	13259.81146
714	13259.26481
715	13248.55941
716	13246.39598
717	13240.92638
718	13231.0407
719	13228.30799
720	13210.40561
721	13199.77473
722	13198.30077
723	13186.96824
724	13185.65274
725	13184.62677
726	13183.4451
727	13170.77599
728	13169.36944
729	13161.03074
730	13153.66392
731	13137.4541
732	13134.25922
733	13129.52869
734	13126.44954
735	13108.74122
736	13104.77853
737	13104.23764
738	13094.95739
739	13089.92983
740	13079.12405
741	13066.81838
742	13051.80969
743	13046.35482
744	13045.8252
745	13029.84126
746	13025.21747
747	13011.9416
748	13008.08656
749	12994.72775
750	12985.87777
751	12985.37756
752	12983.94941
753	12979.02083
754	12966.99609
755	12960.881
756	12953.94149
757	12945.25561
758	12941.72859
759	12939.48357
760	12928.34032
761	12926.66716
762	12913.84199
763	12911.03698
764	12909.59942
765	12894.4976
766	12889.58599
767	12884.95555
768	12869.43617
769	12860.96214
770	12843.62386
771	12836.11711
772	12823.28023
773	12816.28401
774	12810.99477
775	12800.22499
776	12798.97236
777	12796.23588
778	12796.10657
779	12778.57722
780	12778.18466
781	12777.724
782	12776.52635
783	12759.51781
784	12746.90886
785	12737.40859
786	12735.3998
787	12730.45815
788	12729.64744
789	12716.1061
790	12698.11139
791	12687.85179
792	12686.90772
793	12674.43981
794	12657.5152
795	12641.22645
796	12632.46943
797	12627.64913
798	12621.09481
799	12609.00671
800	12605.21413
801	12597.17283
802	12590.36508
803	12582.83638
804	12567.38291
805	12560.29995
806	12556.69987
807	12537.32573
808	12527.24738
809	12526.04704
810	12503.76065
811	12502.90523
812	12490.7765
813	12483.51174
814	12481.48019
815	12469.84542
816	12458.11347
817	12442.2142
818	12435.60603
819	12421.09893
820	12419.71289
821	12411.87246
822	12401.52226
823	12386.62037
824	12375.20643
825	12363.00911
826	12357.26499
827	12339.66895
828	12326.62339
829	12319.20061
830	12316.14935
831	12315.28418
832	12306.55098
833	12305.8905
834	12301.79581
835	12286.07116
836	12275.10246
837	12266.76853
838	12248.02892
839	12240.42505
840	12229.25955
841	12222.28523
842	12220.68176
843	12216.20461
844	12198.76328
845	12195.47589
846	12191.56187
847	12174.85435
848	12173.15176
849	12168.32527
850	12156.30123
851	12148.74275
852	12133.05374
853	12128.68781
854	12125.96055
855	12121.7591
856	12112.5499
857	12106.53078
858	12091.75639
859	12089.18254
860	12082.6822
861	12082.01
862	12079.06855
863	12071.37865
864	12070.29531
865	12063.65581
866	12062.25874
867	12057.10885
868	12055.8927
869	12054.42115
870	12040.32463
871	12030.01919
872	12018.28957
873	12009.68757
874	11997.33619
875	11995.41748
876	11991.18657
877	11985.08999
878	11975.16622
879	11965.57356
880	11957.46804
881	11949.24684
882	11940.07024
883	11939.45914
884	11937.9737
885	11934.97512
886	11929.89342
887	11921.50452
888	11915.19483
889	11914.08021
890	11913.00774
891	11911.97687
892	11907.69596
893	11906.04854
894	11905.44686
895	11894.25529
896	11888.62713
897	11882.92871
898	11875.87682
899	11874.0975
900	11873.38763
901	11865.97115
902	11858.46811
903	11852.4197
904	11850.88237
905	11848.45519
906	11843.88001
907	11838.16136
908	11836.79152
909	11824.43023
910	11820.50372
911	11808.82658
912	11802.63704
913	11781.48244
914	11776.67552
915	11773.42593
916	11761.91658
917	11757.3472
918	11755.84822
919	11738.99154
920	11731.09988
921	11714.43806
922	11708.12884
923	11696.25798
924	11690.14461
925	11686.69096
926	11679.3092
927	11667.3739
928	11666.70719
